CountyName,datetime_local,date_str,hour_str,local_hour,index,cloud_coverage,n_points
Alpine,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0034602076124567475,289
Amador,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,235
Butte,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0061823802163833074,647
Calaveras,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,415
Colusa,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.031042128603104215,451
Contra Costa,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.04918032786885246,305
Del Norte,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.05774278215223097,381
El Dorado,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.011412268188302425,701
Fresno,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.007392197125256674,2435
Glenn,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,513
Humboldt,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.08035062089116143,1369
Imperial,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.880127863612147,1877
Inyo,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,4079
Kern,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0011844832691738228,3377
Kings,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,571
Lake,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0038314176245210726,522
Lassen,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.003972758229284903,1762
Los Angeles,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.3305785123966942,1694
Madera,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.09479768786127167,865
Marin,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.37383177570093457,214
Mariposa,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.055077452667814115,581
Mendocino,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.04894083272461651,1369
Merced,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,804
Modoc,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.018217306441119064,1537
Mono,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.12143439282803586,1227
Monterey,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.04426705370101597,1378
Napa,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,314
Nevada,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,376
Orange,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.9098837209302325,344
Placer,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.020689655172413793,580
Plumas,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0010141987829614604,986
Riverside,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.9792558445834705,3037
Sacramento,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0532994923857868,394
San Benito,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,574
San Bernardino,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.5919463087248322,8195
San Diego,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.9324473975636767,1806
San Francisco,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.19047619047619047,21
San Joaquin,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.012259194395796848,571
San Luis Obispo,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.054636951833213515,1391
San Mateo,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.31746031746031744,189
Santa Barbara,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.3141025641025641,1092
Santa Clara,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,530
Santa Cruz,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.16216216216216217,185
Shasta,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.006215469613259668,1448
Sierra,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,376
Siskiyou,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.010247651579846286,2342
Solano,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.10285714285714286,350
Sonoma,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.056338028169014086,639
Stanislaus,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,611
Sutter,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.029045643153526972,241
Tehama,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,1132
Trinity,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0008169934640522876,1224
Tulare,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0005076142131979696,1970
Tuolumne,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.08129175946547884,898
Ventura,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.6110397946084724,779
Yolo,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.014742014742014743,407
Yuba,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,249
Alameda,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.019867549668874173,302
Alpine,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,289
Amador,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,235
Butte,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.00927357032457496,647
Calaveras,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,415
Colusa,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0598669623059867,451
Contra Costa,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.04262295081967213,305
Del Norte,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.5905511811023622,381
El Dorado,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.017118402282453638,701
Fresno,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0012320328542094457,2435
Glenn,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.003898635477582846,513
Humboldt,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.20964207450693936,1369
Imperial,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.9195524773574854,1877
Inyo,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,4079
Kern,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.11874444773467575,3377
Kings,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,571
Lake,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,522
Lassen,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.03688989784335982,1762
Los Angeles,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.4805194805194805,1694
Madera,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,865
Marin,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.29906542056074764,214
Mariposa,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,581
Mendocino,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.22571219868517164,1369
Merced,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,804
Modoc,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.020169160702667534,1537
Mono,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.08801955990220049,1227
Monterey,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.08272859216255443,1378
Napa,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.009554140127388535,314
Nevada,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,376
Orange,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.7005813953488372,344
Placer,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.02413793103448276,580
Plumas,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.04665314401622718,986
Riverside,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.7474481396114587,3037
Sacramento,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.11928934010152284,394
San Benito,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.006968641114982578,574
San Bernardino,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.662843197071385,8195
San Diego,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.9429678848283499,1806
San Francisco,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.42857142857142855,21
San Joaquin,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0542907180385289,571
San Luis Obispo,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.13227893601725377,1391
San Mateo,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.25396825396825395,189
Santa Barbara,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.38644688644688646,1092
Santa Clara,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,530
Santa Cruz,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.20540540540540542,185
Shasta,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.04005524861878453,1448
Sierra,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,376
Siskiyou,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.028181041844577284,2342
Solano,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.2,350
Sonoma,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.13928012519561817,639
Stanislaus,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,611
Sutter,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.14107883817427386,241
Tehama,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,1132
Trinity,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.018790849673202614,1224
Tulare,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0005076142131979696,1970
Tuolumne,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0011135857461024498,898
Ventura,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.4492939666238768,779
Yolo,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.07616707616707617,407
Yuba,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.0,249
Alameda,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.026490066225165563,302
Alpine,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,289
Amador,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,235
Butte,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0015455950540958269,647
Calaveras,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,415
Colusa,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.03547671840354767,451
Contra Costa,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.06885245901639345,305
Del Norte,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.9343832020997376,381
El Dorado,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.014265335235378032,701
Fresno,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,2435
Glenn,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.017543859649122806,513
Humboldt,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.3360116873630387,1369
Imperial,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.9744272775705913,1877
Inyo,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0051483206668301055,4079
Kern,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.034350014806040864,3377
Kings,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,571
Lake,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0019157088122605363,522
Lassen,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.07661748013620885,1762
Los Angeles,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.24321133412042503,1694
Madera,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,865
Marin,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.5046728971962616,214
Mariposa,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,581
Mendocino,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.23593864134404674,1369
Merced,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,804
Modoc,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.02342225113858165,1537
Mono,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.13528932355338225,1227
Monterey,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.09433962264150944,1378
Napa,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.022292993630573247,314
Nevada,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,376
Orange,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.7877906976744186,344
Placer,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.01896551724137931,580
Plumas,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.035496957403651115,986
